DATA,dia_semana,hora,natureza,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereço,detalhe_endereco_acidente,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via
2019-01-01,terça-feira ,00:41:00,SEM VÍTIMA,IPSEP,AVENIDA,AVENIDA RECIFE,,,COLISÃO TRASEIRA,"2,0",0,0,0,0,0,0,0,0,"0,0","0,0",Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60 km/h
2019-01-01,terça-feira ,01:37:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA PADRE BERNADINO PESSOA,RUA,RUA MINISTRO NELSON HUNGRIA,ABALROAMENTO TRANSVERSAL,"2,0",0,0,0,0,0,0,0,0,"0,0","0,0",Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2019-01-01,terça-feira ,08:17:00,COM VÍTIMA,JAQUEIRA,RUA,RUA TITO ROSAS,,,COLISÃO COM CICLISTA,0,0,0,"1,0",0,"1,0",0,0,0,"1,0","0,0",Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,40 km/h
2019-01-01,terça-feira ,09:30:00,COM VÍTIMA,IBURA,AVENIDA,AVENIDA DOIS RIOS,,,COLISÃO FRONTAL,"1,0","1,0",0,0,0,0,0,0,0,"2,0","0,0",Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,30 km/h
2019-01-01,terça-feira ,09:54:00,COM VÍTIMA,SAN MARTIN,AVENIDA,AVENIDA GENERAL SAN MARTIN,,,CHOQUE OBJETO FIXO,"1,0",0,0,0,0,0,0,0,0,"4,0","0,0",Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Outros,R-6a,40 km/h
2019-01-01,terça-feira ,13:05:00,SEM VÍTIMA,BONGI,EST,EST DO BONGI,,,CHOQUE VEÍCULO PARADO,"1,0",0,0,0,0,0,"1,0",0,0,"0,0","0,0",Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2019-01-01,terça-feira ,15:50:00,SEM VÍTIMA,MADALENA,EST,EST DOS REMEDIOS,,,COLISÃO TRASEIRA,"2,0",0,0,0,0,0,0,0,0,"0,0","0,0",Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2019-01-01,terça-feira ,17:23:00,SEM VÍTIMA,NOVA DESCOBERTA,AVENIDA,AVENIDA VEREADOR OTACILIO AZEVEDO,RUA,RUA NOVA DESCOBERTA,CHOQUE VEÍCULO PARADO,"1,0",0,"1,0",0,0,0,0,0,0,"0,0","0,0",Não informado,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,
2019-01-01,terça-feira ,19:26:00,SEM VÍTIMA,ENGENHO DO MEIO,RUA,RUA ANTONIO CURADO,RUA,RUA PRESIDENTE WASHINGTON LUIZ,ABALROAMENTO TRANSVERSAL,"2,0",0,0,0,0,0,0,0,0,"0,0","0,0",Cruzamento,Bom,Não existe,Incompleta,Seca,Mal iluminada,Não existe,Placas Pare,
2019-01-01,terça-feira ,20:30:00,COM VÍTIMA,ESTÂNCIA,AVENIDA,AVENIDA DR JOSE RUFINO,,,COLISÃO FRONTAL,"3,0",0,0,0,0,0,0,0,0,"1,0","0,0",Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,Outras,
2019-01-02,quarta-feira ,06:41:00,SEM VÍTIMA,BOMBA DO HEMETÉRIO,RUA,RUA PADRE OLIVEIRA,,,ABALROAMENTO LONGITUDINAL,"1,0",0,0,0,0,"1,0",0,0,0,"0,0","0,0",Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,Não há placas,40 km/h
2019-01-02,quarta-feira ,07:26:00,SEM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,,,COLISÃO TRASEIRA,"2,0",0,0,0,0,0,0,0,0,"0,0","0,0",Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,60 km/h
2019-01-02,quarta-feira ,07:38:00,SEM VÍTIMA,MACAXEIRA,RUA,RUA CARLOS MARIGHELLA,,,COLISÃO FRONTAL,"1,0","1,0",0,0,0,0,0,0,0,"0,0","0,0",Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Placas Pare,
2019-01-02,quarta-feira ,07:39:00,SEM VÍTIMA,IMBIRIBEIRA,RUA,RUA ALAMEDA DAS HORTENCIAS,RUA,RUA SARGENTO SILVINO DE MACEDO,ABALROAMENTO LONGITUDINAL,"1,0",0,0,0,0,"1,0",0,0,0,"0,0","0,0",Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,40 km/h
2019-01-02,quarta-feira ,08:07:00,COM VÍTIMA,SOLEDADE,RUA,RUA DA SOLEDADE,AVENIDA,AVENIDA OLIVEIRA LIMA,ABALROAMENTO LONGITUDINAL,"1,0","1,0",0,0,0,0,0,0,0,"1,0","0,0",Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
