data,dia_semana,hora,natureza_acidente,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereço,detalhe_endereco_acidente,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via
2020-01-01,quarta-feira ,01:04:00,SEM VÍTIMA,CORDEIRO,AVENIDA,AVENIDA CAXANGA,AV,AV GENERAL SAN MARTIN,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,60 km/h
2020-01-01,quarta-feira ,02:16:00,SEM VÍTIMA,AREIAS,AVENIDA,AVENIDA RECIFE,,,CHOQUE VEÍCULO PARADO,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-01,quarta-feira ,02:22:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA BOA VIAGEM,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-01,quarta-feira ,03:33:00,SEM VÍTIMA,PAISSANDU,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-01,quarta-feira ,04:18:00,SEM VÍTIMA,BARRO,AVENIDA,AVENIDA DR JOSE RUFINO,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Ilegível,Seca,Mal conservada,Não existe,Não há placas,
2020-01-01,quarta-feira ,04:47:00,SEM VÍTIMA,PINA,AVENIDA,AVENIDA CONSELHEIRO AGUIAR,AV,AV HERCULANO BANDEIRA,CHOQUE OBJETO FIXO,1,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-01,quarta-feira ,09:06:00,COM VÍTIMA,PINA,AVENIDA,AVENIDA CELSO FURTADO (VIA MANGUE),,,CHOQUE OBJETO FIXO,,1,,,,,,,,2,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,Não há placas,60 km/h
2020-01-01,quarta-feira ,10:07:00,COM VÍTIMA,MADALENA,EST,EST DOS REMEDIOS,,,CHOQUE OBJETO FIXO,1,,,,,,,,,1,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Placas Pare,
2020-01-01,quarta-feira ,12:09:00,SEM VÍTIMA,NOVA DESCOBERTA,RUA,RUA NOVA DESCOBERTA,,,CHOQUE VEÍCULO PARADO,1,,,,,,1,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-01,quarta-feira ,15:00:00,SEM VÍTIMA,ROSARINHO,RUA,RUA CAPITAO SAMPAIO XAVIER,,,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2020-01-01,quarta-feira ,15:03:00,SEM VÍTIMA,TORROES,RUA,RUA QUINZE DE MARCO,AV,AV ENGENHEIRO ABDIAS DE CARVALHO,COLISÃO TRASEIRA,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,40 km/h
2020-01-01,quarta-feira ,16:46:00,SEM VÍTIMA,BOMBA DO HEMETERIO,RUA,RUA BOMBA DO HEMETERIO,,,COLISÃO FRONTAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-6a,
2020-01-01,quarta-feira ,16:56:00,SEM VÍTIMA,SAN MARTIN,RUA,RUA VINTE E UM DE ABRIL,RUA,RUA OUREM,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-01,quarta-feira ,23:46:00,COM VÍTIMA,BOA VIAGEM,RUA,RUA DEZ DE JULHO,RUA,RUA CAMBOIM,COLISÃO FRONTAL,1,1,,,,,,,,1,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Placas Pare,
