data,dia_semana,hora,natureza,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereco,detalhe_endereco_acidente,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via
2021-01-01,sexta-feira ,19:44:00,COM VÍTIMA,MADALENA,RUA,RUA BENFICA,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Não hA placas,
2021-01-01,sexta-feira ,23:15:40,COM VÍTIMA,VARZEA,AVENIDA,AVENIDA CAXANGA,RUA,RUA GASTAO VIDIGAL,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Oleosa,Perfeito estado,Outros,Outras,
2021-01-02,sábado ,10:54:00,COM VÍTIMA,VASCO DA GAMA,RUA,RUA RESPLENDOR,,,COLISÃO COM CICLISTA,1,1,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não hA placas,
2021-01-02,sábado ,11:13:00,COM VÍTIMA,BOA VIAGEM,RUA,RUA VISCONDE DE JEQUITINHONHA,RUA,RUA CAPITAO ZUZINHA,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-03,domingo ,09:32:00,COM VÍTIMA,ILHA DO RETIRO,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,60 km/h
2021-01-03,domingo ,11:07:00,SEM VÍTIMA,CASA AMARELA,RUA,RUA OSCAR DE BARROS,,,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,
2021-01-03,domingo ,15:00:00,COM VÍTIMA,BOA VIAGEM,RUA,RUA VISCONDE DE JEQUITINHONHA,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,40 km/h
2021-01-03,domingo ,15:39:00,SEM VÍTIMA,IPSEP,RUA,RUA JEAN EMILE FAVRE,RUA,RUA POTENGY,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2021-01-03,domingo ,21:19:40,SEM VÍTIMA,ESPINHEIRO,RUA,RUA DO ESPINHEIRO,RUA,RUA SANTO ELIAS,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2021-01-04,segunda-feira ,09:56:00,COM VÍTIMA,ENCRUZILHADA,RUA,RUA FERNANDO CESAR,RUA,RUA DR JOSE MARIA,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-04,segunda-feira ,10:26:00,SEM VÍTIMA,SAO JOSE,RUA,RUA IMPERIAL,,,CHOQUE,0,0,0,0,0,0,1,0,0,0,0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Mal conservada,Não existe,Não hA placas,
2021-01-04,segunda-feira ,10:28:00,SEM VÍTIMA,DERBY,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,RUA,RUA JOAQUIM NABUCO,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Não hA placas,
2021-01-04,segunda-feira ,10:44:00,COM VÍTIMA,SANTO ANTONIO,CAIS,CAIS SANTA RITA,,,TOMBAMENTO,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Não hA placas,60 km/h
2021-01-04,segunda-feira ,16:05:00,COM VÍTIMA,DERBY,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,60 km/h
2021-01-05,terça-feira ,08:25:00,COM VÍTIMA,SAO JOSE,VIADUTO,VIADUTO DAS CINCO PONTAS,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Viaduto,Bom,Não existe,Ilegível,Seca,Perfeito estado,Não existe,Não hA placas,40 km/h
2021-01-05,terça-feira ,10:48:00,COM VÍTIMA,PINA,AVENIDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,,,ATROPELAMENTO,0,1,0,0,1,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h
2021-01-05,terça-feira ,11:15:00,COM VÍTIMA,AFOGADOS,RUA,RUA SAO MIGUEL,TRV,TRV JUSTICA E PAZ,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,,Seca,Perfeito estado,Faixa de pedestre,Outras,40 km/h
2021-01-05,terça-feira ,17:35:00,COM VÍTIMA,ROSARINHO,AVENIDA,AVENIDA NORTE,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-06,quarta-feira ,08:02:00,COM VÍTIMA,MUSTARDINHA,RUA,RUA DR ARMANDO TAVARES,RUA,RUA NATALINO TEIXEIRA,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não hA placas,
2021-01-06,quarta-feira ,08:11:00,SEM VÍTIMA,SANTO AMARO,RUA,RUA TREZE DE MAIO,RUA,RUA FREI CASSIMIRO,COLISÃO LATERAL,1,0,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,Outras,40km/h
2021-01-06,quarta-feira ,08:15:00,COM VÍTIMA,DERBY,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h
2021-01-06,quarta-feira ,15:22:00,COM VÍTIMA,CASA AMARELA,AVENIDA,AVENIDA NORTE,RUA,RUA GUIMARAES PEIXOTO,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-06,quarta-feira ,21:17:40,COM VÍTIMA,BOA VIAGEM,RUA,RUA DOS NAVEGANTES,,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,"Placas ""Pare""",
2021-01-07,quinta-feira ,06:55:00,COM VÍTIMA,TORROES,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,
2021-01-07,quinta-feira ,07:48:00,COM VÍTIMA,DERBY,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,RUA,RUA DR LEOPOLDO LINS,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,60 km/h
2021-01-07,quinta-feira ,08:47:00,SEM VÍTIMA,TAMARINEIRA,RUA,RUA CORONEL URIEL SERGIO GARDIM,,,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,,Incompleta,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-07,quinta-feira ,09:39:00,COM VÍTIMA,GRACAS,AVENIDA,AVENIDA RUI BARBOSA,RUA,RUA DAS GRACAS,CAPOTAMENTO,0,1,0,0,0,0,0,0,0,1,0,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Não hA placas,60 km/h
2021-01-07,quinta-feira ,11:38:00,COM VÍTIMA,ESPINHEIRO,RUA,RUA DA HORA,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-07,quinta-feira ,17:50:00,COM VÍTIMA,CASA AMARELA,AVENIDA,AVENIDA NORTE,,,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2021-01-07,quinta-feira ,18:21:00,COM VÍTIMA,PARNAMIRIM,RUA,RUA DA HARMONIA,EST,EST DO ENCANAMENTO,COLISÃO TRANSVERSAL,0,2,0,0,0,0,0,0,0,2,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-08,sexta-feira ,08:01:00,COM VÍTIMA,SAN MARTIN,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,RUA,RUA QUINZE DE MARCO,COLISÃO LATERAL,0,2,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,
2021-01-08,sexta-feira ,13:18:00,COM VÍTIMA,IPSEP,AVENIDA,AVENIDA RECIFE,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,
2021-01-08,sexta-feira ,21:56:40,COM VÍTIMA,PINA,AVENIDA,AVENIDA HERCULANO BANDEIRA,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2021-01-09,sábado ,12:19:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA ARMINDO MOURA,RUA,RUA VISCONDE DE JEQUITINHONHA,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-09,sábado ,12:36:00,SEM VÍTIMA,BRASILIA TEIMOSA,AVENIDA,AVENIDA BRASILIA FORMOSA,,,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,,
2021-01-09,sábado ,14:02:00,COM VÍTIMA,AGUA FRIA,RUA,RUA SAO BENTO,AVENIDA,AVENIDA BEBERIBE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,
2021-01-09,sábado ,14:10:00,COM VÍTIMA,BOA VIAGEM,RUA,RUA VISCONDE DE JEQUITINHONHA,AVENIDA,AVENIDA ARMINDO MOURA,COLISÃO TRANSVERSAL,0,2,0,0,0,0,0,0,0,3,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-09,sábado ,14:21:00,COM VÍTIMA,SANTO AMARO,AVENIDA,AVENIDA CRUZ CABUGA,AVENIDA,AVENIDA NORTE,COLISÃO TRANSVERSAL,4,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,
2021-01-10,domingo ,00:51:00,COM VÍTIMA,DERBY,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,ATROPELAMENTO,1,0,0,0,1,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-10,domingo ,19:36:00,COM VÍTIMA,AFOGADOS,RUA,RUA MOTOCOLOMBO,,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2021-01-10,domingo ,22:27:40,COM VÍTIMA,CORDEIRO,RUA,RUA CANTORA CLARA NUNES,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Ilegível,Seca,Mal iluminada,Não existe,Não hA placas,
