data,dia_semana,hora,natureza,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereço,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
2023-01-01,domingo ,03:37:00,COM VÍTIMA,MADALENA,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,E/F AO POSTO BR - ANTES DA FIR - SENTIDO SUB/CID,MADALENA,,CIDADE,ATROPELAMENTO DE PESSOA,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,
2023-01-01,domingo ,08:28:00,COM VÍTIMA,BONGI,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,RUA,RUA CARLOS GOMES,EM FRENTE AO POSTO DE GASOLINA DISLUB,BONGI,,SUBURBIO,COLISÃO LATERAL,0,2,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,
2023-01-01,domingo ,10:39:00,COM VÍTIMA,JAQUEIRA,RUA,RUA MUNIZ TAVARES,AVENIDA,AVENIDA RUI BARBOSA,DE ESQUINA COM O HOSPITAL MARIA LUCINDA,JAQUEIRA,460,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
2023-01-01,domingo ,12:41:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA BOA VIAGEM,,,PROX AO SEMAFORO 152 E PROX AO CASTELINHO,BOA VIAGEM,,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2023-01-01,domingo ,03:44:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,,,PROX A  PRAÇA CIDADE DO PORTO,BOA VIAGEM,,,ATROPELAMENTO DE PESSOA,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,
2023-01-01,domingo ,04:35:00,COM VÍTIMA,SAN MARTIN,AVENIDA,AVENIDA GENERAL SAN MARTIN,AVENIDA,AVENIDA CONSUL VILARES FRAGOSO,DE FRENTE A CAVALARIA,SAN MARTIN,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
2023-01-01,domingo ,05:34:00,SEM VÍTIMA,PINA,AVENIDA,AVENIDA CELSO FURTADO (VIA MANGUE),RUA,RUA TOME GIBSON,CANTEIRO CENTRAL DA VIA MANGUE,PINA,,CIDADE,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2023-01-01,domingo ,08:07:00,SEM VÍTIMA,IPUTINGA,RUA,RUA SAO MATEUS,RUA,RUA ANTONIO CARLOS RIBEIRO DE ANDRADE,,IPUTINGA,,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2023-01-02,segunda-feira ,05:34:00,COM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,RUA,RUA CORONEL FABRICIANO,AO LADO DO ATACADÃO,IMBIRIBEIRA,310,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
2023-01-02,segunda-feira ,06:04:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA ARMINDO MOURA,,,VILA MILITAR,BOA VIAGEM,529,SUBURBIO,COLISÃO LATERAL,0,1,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,
2023-01-03,terça-feira ,08:06:00,SEM VÍTIMA,DERBY,RUA,RUA JENER DE SOUZA,,,LADO OPOSTO AO MEMORIAL DE MEDICINA,DERBY,,,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
